trial,clock,n_treated,n_control,treated,treated_lo,treated_hi,treated_p,control,control_lo,control_hi,control_p,diff,diff_lo,diff_hi,diff_p
DIRECT-PLUS,SystemsAge,87,88,-0.0642647780812563,-0.10248340261783956,-0.026046153544673052,0.00142737009105289,-0.0560751039422042,-0.0949249739171833,-0.017225233967225105,0.00579547203128036,-0.008189674139052104,-0.06268715718681409,0.046307808908709884,0.7683442840672898
DIRECT-PLUS,DunedinPoAm38,87,88,-0.202145310946353,-0.28494867019454545,-0.11934195169816053,7.03412359561198e-06,-0.195952875691212,-0.29409263568858707,-0.09781311569383695,0.000180166285490891,-0.006192435255140988,-0.13459729807243306,0.12221242756215109,0.9246939587658382
DIRECT-PLUS,DunedinPACE,87,88,-0.144223794598185,-0.24569740526980519,-0.042750183926564794,0.00656909834392864,-0.130605984921329,-0.21388389036801975,-0.04732807947463823,0.00282196836402339,-0.013617809676855996,-0.1448889154020822,0.11765329604837022,0.8388797697537984
CENTRAL,Horvath1,60,60,0.0530730962896011,-0.03605617162254047,0.14220236420174268,0.247863154762394,-0.0565099482698707,-0.17385132622963392,0.060831429689892524,0.349065931145018,0.10958304455947179,-0.0377703584553562,0.2569364475742998,0.14494999282856613
CENTRAL,Horvath2,60,60,0.175892696838363,0.02510780859335493,0.3266775850833711,0.0258389927125032,-0.0155333428721861,-0.14168395069979528,0.11061726495542307,0.810127394973464,0.1914260397105491,-0.005170141275590151,0.38802222069668835,0.05633238590973138
CENTRAL,Hannum,60,60,-0.19923282857444,-0.3468850114784381,-0.05158064567044188,0.0104606677226534,-0.0312499764200868,-0.20556948955840348,0.14306953671822986,0.726565475974035,-0.16798285215435318,-0.3964307888425524,0.060465084533846025,0.14951925769796515
CENTRAL,PCHorvath1,60,60,-0.0153977116137394,-0.07107355281543194,0.04027812958795315,0.589820280304885,-0.0495314213332556,-0.09825775142979079,-0.0008050912367204149,0.0509621219608396,0.0341337097195162,-0.03985314410055508,0.10812056353958749,0.3658667330095374
CENTRAL,PCHorvath2,60,60,-0.00208085357166073,-0.05840080729009169,0.054239100146770226,0.942515685772455,0.0171714970808491,-0.03603058941324343,0.07037358357494163,0.529433016236831,-0.01925235065250983,-0.0967275027605961,0.058222801455576456,0.6262198391763563
CENTRAL,PCHannum,60,60,0.0109898832038596,-0.04848407518650221,0.07046384159422141,0.718512931766666,-0.0115788760774803,-0.07185351250327658,0.04869576034831598,0.707881160367018,0.0225687592813399,-0.06210817691075679,0.1072456954734366,0.6013956645155447
CENTRAL,DNAmEMRAge,60,60,0.0030010880545433,-0.06129697491264639,0.06729915102173299,0.92741929569677,-0.0314561592361366,-0.10437460187700107,0.04146228340472786,0.401236059372886,0.0344572472906799,-0.06276075607547513,0.1316752506568349,0.48725069281352795
CENTRAL,OMICmAge,60,60,-0.0241338195149193,-0.09874273778494636,0.05047509875510775,0.528529290022503,0.00537243953134986,-0.06258109621239806,0.07332597527509778,0.877382899818645,-0.02950625904626916,-0.1304229261805954,0.07141040808805707,0.5665976121966492
CENTRAL,PhenoAge,60,60,-0.00992366781336151,-0.172040330633938,0.15219299500721498,0.90490841542117,0.0880051212779087,-0.04322781821326553,0.21923806076908292,0.193805089317119,-0.09792878909127022,-0.3065046668230316,0.1106470886404912,0.3574459506783324
CENTRAL,GrimAgeV1,60,60,-0.00154836962357366,-0.11890416806435486,0.11580742881720754,0.979456385467544,-0.0548290817962877,-0.17313900170312654,0.06348083811055116,0.367396877697964,0.05328071217271404,-0.11336148109188474,0.21992290543731283,0.530873477299309
CENTRAL,GrimAgeV2,60,60,-0.0472090316191061,-0.1538334544558005,0.059415391217588306,0.389014642098809,-0.102595942830645,-0.2280148421135078,0.022822956452217782,0.11420210468618,0.05538691121153891,-0.10922981893027589,0.2200036413533537,0.509599655302704
CENTRAL,PCPhenoAge,60,60,-0.0439347127566851,-0.13049306155761514,0.042623636044244954,0.323874957982208,-0.0642544068071311,-0.15262128581552628,0.024112472201264085,0.159374323020025,0.020319694050446,-0.10337773135860534,0.14401711945949736,0.747477012510162
CENTRAL,PCGrimAge,60,60,0.00922946490965859,-0.06632461634076633,0.08478354616008352,0.811603656792566,-0.0485905900237988,-0.1245949280913317,0.0274137480437341,0.215129377742012,0.05782005493345739,-0.04934840403969218,0.16498851390660696,0.2902976612064929
CENTRAL,SystemsAge,60,60,-0.0115181276531776,-0.05948638689125878,0.03645013158490358,0.639636901987831,-0.0566284703877506,-0.10219764382529245,-0.011059296950208762,0.0179037566071139,0.045110342734573004,-0.021052361730348378,0.11127304719949438,0.1814361765898057
CENTRAL,DunedinPoAm38,60,60,-0.0972663460582949,-0.1984269577941371,0.003894265677547318,0.0644198083539886,-0.0522153236329543,-0.16987931066998574,0.06544866340407712,0.387944375945609,-0.0450510224253406,-0.20022280856000013,0.11012076370931895,0.5693243994760127
CENTRAL,DunedinPACE,60,60,-0.0870869186360372,-0.1967162614106448,0.022542424138570424,0.124824301623581,-0.151766291515473,-0.2418506844472307,-0.06168189858371528,0.00163328877012431,0.0646793728794358,-0.07721421628891152,0.20657296204778314,0.3716285219637635
Twin study,Horvath1,13,12,-0.120401634053942,-0.27800606837394937,0.037202800266065345,0.160139348002889,-0.142690729251624,-0.36876213185274986,0.08338067334950186,0.241807747709883,0.02228909519768199,-0.2532965299560438,0.2978747203514077,0.8740447941125993
Twin study,Horvath2,13,12,0.0996816100561218,-0.03145903616083709,0.2308222562730807,0.162079042295222,0.199455425209468,-0.0030062929218801215,0.4019171433408161,0.0796650317585406,-0.09977381515334618,-0.3409969823635025,0.14144935205681014,0.41754498367728843
Twin study,Hannum,13,12,-0.0639712426357325,-0.31068440260878805,0.18274191733732303,0.620514507424171,-0.0689745058740295,-0.3499746005022617,0.21202558875420274,0.639870484099835,0.005003263238296987,-0.36893314376825,0.37893967024484393,0.9790780597568299
Twin study,PCHorvath1,13,12,-0.109987617316811,-0.22107899413361864,0.0011037594999966233,0.076174245058893,-0.0311282951427457,-0.15027674827711715,0.08802015799162574,0.618731092489966,-0.0788593221740653,-0.24176312166127018,0.08404447731313958,0.34271876171988813
Twin study,PCHorvath2,13,12,-0.0700644027122257,-0.2006524966240169,0.06052369119956551,0.313700024100935,0.00471492110595809,-0.13943736441027194,0.1488672066221881,0.950034782754096,-0.0747793238181838,-0.26928673162330446,0.11972808398693686,0.45113054056085045
Twin study,PCHannum,13,12,-0.0659553787160117,-0.2149242357456079,0.0830134783135845,0.402534167956235,0.0223801724013828,-0.1545020729926334,0.199262417795399,0.808710119435358,-0.0883355511173945,-0.31959092748804935,0.14291982525326036,0.45404643822215185
Twin study,DNAmEMRAge,13,12,-0.151415344049738,-0.2742995404286989,-0.028531147670777066,0.0326095610994453,0.0423568730986916,-0.10037220562230989,0.1850859518196931,0.572524174542792,-0.1937722171484296,-0.38211264199728906,-0.005431792299570137,0.04374490129879796
Twin study,OMICmAge,13,12,-0.0355103375619003,-0.17367825805708006,0.10265758293327945,0.623566180993276,-0.0403559621876504,-0.22804781142139882,0.14733588704609804,0.6815634073548,0.004845624625750097,-0.2282178957345724,0.23790914498607263,0.9674949069082761
Twin study,PhenoAge,13,12,-0.0254329319835975,-0.4413480245467123,0.39048216057951735,0.906583058742171,0.0356328733606165,-0.23068483353479907,0.30195058025603205,0.797978899731594,-0.061065805344214,-0.5549387497619224,0.43280713907349433,0.808510745978655
Twin study,GrimAgeV1,13,12,-0.068309440702069,-0.2003973878325918,0.06377850642845383,0.330767820836833,0.0234706262403618,-0.1193293848741463,0.1662706373548699,0.753381673230936,-0.0917800669424308,-0.2863027364477083,0.10274260256284673,0.35508501814203597
Twin study,GrimAgeV2,13,12,-0.126538093886974,-0.24649906533112576,-0.006577122442822256,0.0609612255511921,0.0359500627574094,-0.10484015046733858,0.17674027598215736,0.626601821602611,-0.1624881566443834,-0.34745442062161414,0.022478107332847302,0.08510391894921865
